OSEBuildingID,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),Outlier,TotalGHGEmissions,GHGEmissionsIntensity
26379,NonResidential,Hotel,2,GREATER DUWAMISH,47.54774,-122.32091,1992,1.0,3,22452,0,22452,Hotel,Hotel,22452.0,,0.0,,0.0,85.0,1244150.0,0.0,524385.0,719765.0,,41.88,1.87
26392,NonResidential,Other,4,NORTHEAST,47.66148,-122.31279,1912,1.0,2,25767,0,25767,Bank Branch,Bank Branch,17434.0,,0.0,,0.0,22.0,1581352.75,0.0,1581352.0,0.0,,11.02,0.43
26393,NonResidential,Retail Store,4,NORTHEAST,47.66188,-122.31279,1953,1.0,4,33910,0,33910,"Office, Retail Store",Retail Store,14585.0,Office,14462.0,,0.0,75.0,1822834.25,0.0,1270124.0,552710.0,,38.21,1.13
26396,NonResidential,Worship Facility,4,NORTHEAST,47.6645,-122.31224,1927,1.0,2,78401,0,78401,"K-12 School, Office, Supermarket/Grocery Store, Worship Facility",Worship Facility,62400.0,Office,9940.0,K-12 School,4960.0,,2462408.25,0.0,939974.0,1522434.0,,87.41,1.11
26460,NonResidential,Warehouse,4,LAKE UNION,47.64748,-122.33435,1979,1.0,2,78716,0,78716,"Non-Refrigerated Warehouse, Office, Other, Retail Store",Non-Refrigerated Warehouse,41275.0,Office,29399.0,Retail Store,6278.0,38.0,4103800.75,0.0,3680806.0,422994.0,,48.13,0.61
26465,NonResidential,K-12 School,4,LAKE UNION,47.66389,-122.33692,1910,1.0,2,33300,0,33300,K-12 School,K-12 School,30740.0,,0.0,,0.0,92.0,1594733.625,0.0,335907.0,1258827.0,,69.2,2.08
26473,NonResidential,Supermarket / Grocery Store,4,LAKE UNION,47.66185,-122.33594,1957,1.0,1,28808,0,28808,Supermarket/Grocery Store,Supermarket/Grocery Store,31174.0,,0.0,,0.0,29.0,9232576.0,0.0,5713530.0,3519045.0,,226.73,7.87
26528,NonResidential,Small- and Mid-Sized Office,4,NORTHEAST,47.66345,-122.3134,1957,1.0,1,27966,7004,20962,"Office, Parking",Office,20962.0,Parking,7004.0,,0.0,58.0,1100499.75,0.0,1100500.0,0.0,,7.67,0.27
26529,NonResidential,Supermarket / Grocery Store,4,NORTHEAST,47.66429,-122.31389,1950,1.0,1,26226,0,26226,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,25828.0,Parking,0.0,,0.0,37.0,7588060.5,0.0,5349470.0,2238590.0,,156.18,5.96
26535,NonResidential,Mixed Use Property,4,NORTHEAST,47.6616,-122.31393,1976,1.0,2,34948,15755,19193,"Bank Branch, Parking",Bank Branch,19183.0,Parking,19183.0,,0.0,17.0,1159807.125,0.0,1159807.0,0.0,,8.09,0.23
26587,NonResidential,Small- and Mid-Sized Office,4,LAKE UNION,47.6342,-122.32661,1998,1.0,3,37639,9999,27640,"Laboratory, Office",Office,20434.0,Laboratory,7557.0,,0.0,,6197824.5,0.0,6197824.0,0.0,,43.21,1.15
26593,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60102,-122.33378,1900,1.0,4,22840,0,22840,"Office, Other",Office,18400.0,Other,4440.0,,0.0,64.0,881386.1875,0.0,881386.0,0.0,,6.14,0.27
26594,NonResidential,Other,7,DOWNTOWN,47.60135,-122.33327,1900,1.0,1,21420,0,21420,"Bar/Nightclub, Food Sales, Museum, Retail Store, Supermarket/Grocery Store",Museum,10420.0,Bar/Nightclub,5000.0,Supermarket/Grocery Store,2000.0,,810636.875,0.0,722467.0,88170.0,,9.72,0.45
26596,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.6011,-122.33197,1900,1.0,1,20880,0,20880,Office,Office,20880.0,,0.0,,0.0,94.0,683274.0,0.0,683274.0,0.0,,4.76,0.23
